restaurant,location,cuisine,price,food_rating,service_rating,ambience_rating,value_rating,num_reviews,recommendation_percentage,chef,dining_style,dress_code,noise_level
Gabriel Kreuther,Midtown West,Contemporary French / American,$50 and over,4.8,4.8,4.8,4.3,1269,91%,Gabriel Kreuther,Fine Dining,Business Casual,Quiet
Davio's Northern Italian Steakhouse - Manhattan,Midtown East,Steakhouse,$31 to $50,4.5,4.5,4.4,4.2,947,93%,Steve DiFillippo Chef/Owner,Fine Dining,Smart Casual,Moderate
Empellon Taqueria,West Village,Mexican,$31 to $50,4.5,4.6,4.4,4.1,1581,81%,Alex Stupak,Casual Dining,Smart Casual,Moderate
Añejo Tribeca,TriBeCa - Downtown,Mexican,$31 to $50,4.5,4.3,4.3,4.1,422,82%,Ricardo Camacho,Casual Dining,Smart Casual,Moderate
Yopparai,Lower East Side,Izakaya,$50 and over,4.8,4.8,4.7,4.4,310,95%,Junya Miura,Casual Elegant,Casual Dress,Quiet
db Bistro moderne,Theater District / Times Square,French,$31 to $50,4.5,4.5,4.3,4,6968,91%,Christopher Stam,Casual Dining,Smart Casual,Moderate
Boqueria West 40th Street,Midtown West,Spanish,$30 and under,4.5,4.4,4.4,4.1,376,93%,Marc Vidal,Casual Dining,Casual Dress,Moderate
Il Corso (New York City),Midtown West,Italian,$31 to $50,4.7,4.7,4.4,4.3,2062,95%,Paolo Nozzoli,Casual Elegant,Casual Dress,Moderate
Serafina at The Time Hotel,Theater District / Times Square,Italian,$31 to $50,4.2,4.1,4,3.9,516,81%,,Casual Dining,Smart Casual,Moderate
Nusr-Et Steakhouse New York,Midtown West,Steakhouse,$50 and over,4.6,4.5,4.6,3.9,1248,84%,Nusret Gokce,Fine Dining,Smart Casual,Moderate
Patsy's Pizzeria,Midtown East,Pizzeria,$30 and under,4.2,4.1,3.9,4.1,51,80%,,Casual Dining,Casual Dress,Moderate
Village Taverna Greek Grill,Union Square,Greek,$30 and under,4.6,4.6,4.5,4.4,309,94%,Luis Falcon,Casual Dining,Casual Dress,Moderate
Empellon Midtown,Midtown East,Contemporary Mexican,$31 to $50,4.5,4.5,4.4,3.9,776,88%,Duncan Grant,Casual Dining,Casual Dress,Moderate
Extra Virgin Restaurant,West Village,Mediterranean,$30 and under,4.4,4.2,4.3,4.1,564,77%,Joey Fortunato,Casual Dining,Business Casual,Moderate
Blue Hill,West Village,American,$50 and over,4.7,4.8,4.7,4.3,3482,95%,"Dan Barber, Chef/Co-Owner",Casual Elegant,Casual Dress,Quiet
Beer Authority,Theater District / Times Square,Gastro Pub,$30 and under,3.8,3.6,3.9,3.7,158,70%,,Casual Dining,Casual Dress,Moderate
Orso - NYC,Theater District / Times Square,Italian,$31 to $50,4.6,4.7,4.5,4.4,1318,98%,Victor Flores,Casual Elegant,Casual Dress,Moderate
Glass House Tavern,Theater District / Times Square,Contemporary American,$31 to $50,4.4,4.4,4.2,4.1,4040,93%,Craig Cupani,Casual Elegant,Smart Casual,Moderate
Boucherie - West Village,West Village,French,$31 to $50,4.4,4.2,4.5,3.9,849,86%,Jerome DIHUI,Casual Elegant,Business Casual,Moderate
Sea Fire Grill,Midtown East,Seafood,$50 and over,4.7,4.7,4.5,4.2,2096,96%,,Fine Dining,Business Casual,Moderate
Victor's Café,Theater District / Times Square,Cuban,$31 to $50,4.5,4.4,4.5,4.1,7049,91%,,Casual Dining,Casual Dress,Moderate
Porter House Bar and Grill,Midtown West,American,$50 and over,4.6,4.5,4.5,4,4328,92%,Michael Lomonaco,Casual Elegant,Smart Casual,Moderate
Trattoria Zero Otto Nove,Chelsea,Italian,$31 to $50,4.6,4.6,4.4,4.3,1084,90%,Roberto Paciullo,Casual Dining,Casual Dress,Moderate
Cipriani - Dolci,Midtown East,Italian,$31 to $50,4.2,4.2,4.3,3.6,1266,78%,,Casual Elegant,Business Casual,Moderate
Casa Lever,Midtown East,Italian,$50 and over,4.6,4.6,4.7,4.1,1279,88%,Domenico Natale ,Casual Elegant,Smart Casual,Moderate
Benihana - New York,Midtown West,Japanese,$30 and under,4.1,3.7,3.6,3.6,3526,69%,,Casual Dining,Casual Dress,Moderate
